 818:    8: successfully unloaded `testobj3.so', handle 0x555556ddd090
 817:    9: successfully loaded `testobj3.so', handle 0x555556ddd090
 816:   21: successfully loaded `testobj6.so', handle 0x555556ddd850
 815:   20: successfully unloaded `testobj6.so', handle 0x555556ddd850
 814:    3: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 813:    3: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 812:    5: successfully loaded `testobj2.so', handle 0x555556ddd850
 811:   16: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 810:    9: successfully unloaded `testobj3.so', handle 0x555556ddd090
 809:    5: successfully unloaded `testobj2.so', handle 0x555556ddd850
 808:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 807:   15: successfully unloaded `testobj4.so', handle 0x555556ddcbd0
 806:   16: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 805:   14: successfully loaded `testobj4.so', handle 0x555556ddcbd0
 804:   10: successfully loaded `testobj3.so', handle 0x555556ddd090
 803:   16: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 802:   12: successfully unloaded `testobj4.so', handle 0x555556ddcbd0
 801:   19: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 800:    5: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 799:    6: successfully loaded `testobj2.so', handle 0x555556ddcbd0
 798:    2: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 797:    9: successfully unloaded `testobj3.so', handle 0x555556ddd090
 796:    7: successfully unloaded `testobj2.so', handle 0x555556ddcbd0
 795:   21: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 794:    9: successfully loaded `testobj3.so', handle 0x555556ddbfa0
 793:    1: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 792:   23: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 791:   19: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 790:   13: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 789:   10: successfully unloaded `testobj3.so', handle 0x555556ddbfa0
 788:   22: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 787:   21: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
 786:   19: successfully loaded `testobj5.so', handle 0x555556ddbfa0
 785:   12: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 784:   18: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 783:   14: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 782:   15: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 781:   15: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 780:   23: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 779:    0: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 778:   20: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
 777:   19: successfully loaded `testobj5.so', handle 0x555556ddbfa0
 776:   15: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 775:   12: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 774:    9: successfully loaded `testobj3.so', handle 0x555556ddb2b0
 773:   17: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 772:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 771:   13: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 770:   13: successfully loaded `testobj4.so', handle 0x555556ddb8e0
